2023-10-15 11:46:41,927 INFO    MainThread:5826 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-15 11:46:41,928 INFO    MainThread:5826 [wandb_setup.py:_flush():76] Configure stats pid to 5826
2023-10-15 11:46:41,928 INFO    MainThread:5826 [wandb_setup.py:_flush():76] Loading settings from /Users/braydenrudisill/.config/wandb/settings
2023-10-15 11:46:41,928 INFO    MainThread:5826 [wandb_setup.py:_flush():76] Loading settings from /Users/braydenrudisill/Projects/MechTransformer/wandb/settings
2023-10-15 11:46:41,928 INFO    MainThread:5826 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-15 11:46:41,928 INFO    MainThread:5826 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-15 11:46:41,928 INFO    MainThread:5826 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/Users/braydenrudisill/Projects/MechTransformer/train.py', 'program': '/Users/braydenrudisill/Projects/MechTransformer/train.py'}
2023-10-15 11:46:41,928 INFO    MainThread:5826 [wandb_init.py:_log_setup():528] Logging user logs to /Users/braydenrudisill/Projects/MechTransformer/wandb/run-20231015_114641-0lfvj00z/logs/debug.log
2023-10-15 11:46:41,928 INFO    MainThread:5826 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/braydenrudisill/Projects/MechTransformer/wandb/run-20231015_114641-0lfvj00z/logs/debug-internal.log
2023-10-15 11:46:41,928 INFO    MainThread:5826 [wandb_init.py:init():568] calling init triggers
2023-10-15 11:46:41,928 INFO    MainThread:5826 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'architecture': 'Mechformer', 'dataset': PosixPath('data/MIT_separated_augm/src-train.txt'), 'tokenizer': PosixPath('data/MIT_separated_augm/tokenizer.json'), 'SRC_VOCAB_SIZE': 298, 'TGT_VOCAB_SIZE': 298, 'epochs': 150, 'EMB_SIZE': 512, 'NHEAD': 8, 'FFN_HID_DIM': 512, 'BATCH_SIZE': 128, 'NUM_ENCODER_LAYERS': 4, 'NUM_DECODER_LAYERS': 4}
2023-10-15 11:46:41,928 INFO    MainThread:5826 [wandb_init.py:init():618] starting backend
2023-10-15 11:46:41,928 INFO    MainThread:5826 [wandb_init.py:init():622] setting up manager
2023-10-15 11:46:41,930 INFO    MainThread:5826 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-15 11:46:41,931 INFO    MainThread:5826 [wandb_init.py:init():628] backend started and connected
2023-10-15 11:46:41,935 INFO    MainThread:5826 [wandb_init.py:init():720] updated telemetry
2023-10-15 11:46:41,959 INFO    MainThread:5826 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-15 11:46:42,284 INFO    MainThread:5826 [wandb_run.py:_on_init():2220] communicating current version
2023-10-15 11:46:42,414 INFO    MainThread:5826 [wandb_run.py:_on_init():2229] got version response 
2023-10-15 11:46:42,415 INFO    MainThread:5826 [wandb_init.py:init():804] starting run threads in backend
2023-10-15 11:46:42,463 INFO    MainThread:5826 [wandb_run.py:_console_start():2199] atexit reg
2023-10-15 11:46:42,463 INFO    MainThread:5826 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-15 11:46:42,464 INFO    MainThread:5826 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-15 11:46:42,464 INFO    MainThread:5826 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-15 11:46:42,464 INFO    MainThread:5826 [wandb_init.py:init():845] run started, returning control to user process
2023-10-15 11:46:47,565 WARNING MsgRouterThr:5826 [router.py:message_loop():77] message_loop has been closed
